neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
Donostia-San Sebastian;Private room;120;2;278;45361;2.62;1;257;45
Getxo;Entire home/apt;76;1;488;45373;4.60;1;210;86
Bilbao;Private room;50;1;17;45176;0.17;1;279;8
Sopelana;Entire home/apt;129;3;120;45340;1.14;1;243;27
Erandio;Entire home/apt;90;2;101;44073;0.96;1;108;0
Donostia-San Sebastian;Entire home/apt;72;2;230;45371;2.45;1;225;42
Donostia-San Sebastian;Entire home/apt;164;2;267;45375;2.57;1;126;36
Mundaka;Entire home/apt;95;1;30;45351;0.36;9;150;5
Mundaka;Entire home/apt;102;1;86;45373;0.85;9;147;10
Donostia-San Sebastian;Entire home/apt;166;4;76;45256;0.72;1;197;29
Sukarrieta;Entire home/apt;125;2;60;45192;0.57;1;325;10
Moreda de Ãlava;Entire home/apt;183;2;80;45368;0.76;1;332;8
Donostia-San Sebastian;Entire home/apt;137;1;1;44774;0.05;4;342;0
Sopelana;Entire home/apt;240;3;59;45151;0.56;1;345;6
Vitoria-Gasteiz;Entire home/apt;116;1;375;45381;3.57;1;240;75
Donostia-San Sebastian;Entire home/apt;150;1;42;45206;0.44;87;228;8
Donostia-San Sebastian;Entire home/apt;162;1;8;44025;0.08;10;249;0
Asteasu;Entire home/apt;127;4;69;45165;0.66;1;87;8
Barrika;Private room;83;7;10;45157;0.49;2;90;2
Donostia-San Sebastian;Private room;72;2;334;45362;3.17;2;134;38
Donostia-San Sebastian;Entire home/apt;300;3;10;43708;0.12;2;89;0
Donostia-San Sebastian;Private room;80;2;331;45354;3.15;2;85;40
Donostia-San Sebastian;Entire home/apt;130;2;244;45243;2.34;1;335;25
Bilbao;Entire home/apt;133;1;240;45326;2.29;5;287;16
Getxo;Entire home/apt;196;3;159;45373;1.53;1;225;13
Bilbao;Private room;65;1;264;45379;2.52;2;10;29
ValdegovÃ­a;Entire home/apt;67;3;91;45382;0.88;1;256;13
Donostia-San Sebastian;Private room;125;2;134;45222;1.29;1;316;23
Mundaka;Entire home/apt;123;2;46;45113;0.63;1;168;6
Donostia-San Sebastian;Entire home/apt;127;2;151;45347;1.76;2;362;29
Donostia-San Sebastian;Entire home/apt;163;2;272;45346;2.62;1;269;22
Donostia-San Sebastian;Entire home/apt;190;31;15;44783;0.16;7;221;0
Donostia-San Sebastian;Entire home/apt;203;1;79;45228;0.76;87;206;8
Vitoria-Gasteiz;Private room;146;1;8;45158;0.08;3;89;2
Bilbao;Private room;64;1;294;45378;2.84;2;13;46
Bilbao;Private room;39;2;136;45366;1.31;2;105;20
Orio;Entire home/apt;150;1;26;45242;0.26;14;345;10
Vitoria-Gasteiz;Private room;104;22;0;;;3;270;0
Legutiano;Entire home/apt;90;4;50;45214;0.53;1;336;8
Vitoria-Gasteiz;Private room;41;1;1;43023;0.01;3;36;0
Pasaia;Private room;160;1;119;45157;1.24;2;118;10
Vitoria-Gasteiz;Private room;135;1;6;45025;0.06;6;89;1
Vitoria-Gasteiz;Private room;68;1;7;45351;0.07;6;85;1
Durango;Entire home/apt;900;2;14;45286;0.14;1;345;3
